name,N,CSF1PO allele count,D13S317 allele count,D16S539 allele count,D18S51 allele count,D19S433 allele count,D21S11 allele count,D2S1338 allele count,D3S1358 allele count,D5S818 allele count,D7S820 allele count,D8S1179 allele count,FGA allele count,TH01 allele count,TPOX allele count,vWA allele count,CSF1PO sum allele freq,D13S317 sum allele freq,D16S539 sum allele freq,D18S51 sum allele freq,D19S433 sum allele freq,D21S11 sum allele freq,D2S1338 sum allele freq,D3S1358 sum allele freq,D5S818 sum allele freq,D7S820 sum allele freq,D8S1179 sum allele freq,FGA sum allele freq,TH01 sum allele freq,TPOX sum allele freq,vWA sum allele freq
GT36866+GT38119+C99C,3p,2,3,3,3,4,5,4,5,3,4,5,3,3,3,4,0.669,0.7105,0.7922,0.4322,0.8434,0.8323,0.4654,0.7229,0.8865,0.6024,0.705,0.507,0.7743,0.9044,0.6938
GT36866+MT94818+MT97156,3p,3,4,4,5,2,5,5,2,3,3,4,3,2,3,3,0.6108,0.7923,0.8185,0.4295,0.4321,0.6993,0.4959,0.4487,0.8865,0.4584,0.7036,0.3879,0.5804,0.9044,0.6869
GT36866+MT94868+C87C,3p,4,4,4,4,2,4,5,2,2,4,4,4,2,2,4,0.9031,0.7923,0.8988,0.5458,0.4321,0.493,0.5554,0.4487,0.4987,0.7645,0.5402,0.6594,0.5804,0.777,0.6814
GT36866+MT97139+OT07785,3p,3,2,4,6,4,5,5,4,2,2,4,5,4,2,3,0.8892,0.5942,0.8988,0.7328,0.8434,0.7021,0.5679,0.8726,0.4987,0.4155,0.6759,0.7937,0.8934,0.777,0.6869
GT36866+MT97145+TT51679,3p,3,4,2,4,3,5,5,4,4,2,5,4,2,2,4,0.8892,0.7534,0.4778,0.4475,0.5886,0.3157,0.5485,0.7063,0.9281,0.4612,0.7991,0.6413,0.5804,0.6523,0.7922
GT36866+MT97199+UA16924,3p,2,2,3,2,2,4,5,3,3,3,4,4,4,3,3,0.669,0.5942,0.7922,0.2937,0.4321,0.6301,0.6413,0.5997,0.8865,0.6288,0.7022,0.615,0.8934,0.9044,0.5886
GT36866+PT86478+C71C,3p,3,4,3,5,5,4,5,4,4,4,4,3,3,1,5,0.8892,0.7147,0.7922,0.6234,0.8503,0.5498,0.482,0.8726,0.9419,0.7271,0.6329,0.381,0.7743,0.5249,0.7936
GT36866+UT57299+UT58320,3p,4,4,3,4,5,5,5,3,3,4,3,3,2,2,4,0.8947,0.7189,0.7922,0.5665,0.8669,0.6993,0.5582,0.7216,0.8865,0.7271,0.5997,0.4626,0.5804,0.777,0.6814
GT36866+UT58301+C77C,3p,3,3,4,6,4,4,4,3,3,3,3,4,4,2,3,0.8892,0.7147,0.6412,0.8269,0.8434,0.6301,0.5208,0.7216,0.8865,0.4958,0.536,0.5333,0.8934,0.5748,0.5775
GT36866+UT58333+C35C,3p,3,2,3,4,5,6,5,3,4,4,4,3,3,3,4,0.6829,0.5942,0.4958,0.579,0.7284,0.9043,0.4155,0.5553,0.9419,0.6108,0.6759,0.3962,0.676,0.9044,0.7797
GT36866+UT58337+C47C,3p,3,3,3,4,5,4,5,4,4,2,3,3,4,3,3,0.8892,0.7105,0.7922,0.579,0.6107,0.673,0.4862,0.8726,0.9419,0.4612,0.536,0.507,0.7951,0.8186,0.6869
GT36866+WA29584+Y8,3p,3,4,4,3,5,3,4,3,4,4,4,3,4,3,4,0.8892,0.7534,0.8988,0.4405,0.8794,0.3905,0.5305,0.4653,0.5957,0.7728,0.4488,0.4626,0.8934,0.8186,0.7922
GT36866+C20C+C34C,3p,3,3,4,4,6,5,3,4,3,4,3,4,3,2,4,0.6787,0.7147,0.5609,0.5181,0.7949,0.6993,0.4155,0.8282,0.8865,0.633,0.5983,0.6413,0.7743,0.777,0.7797
